,hclinton,trump,difference
going,304,617,313
theyre,32,172,140
great,83,200,117
america,136,31,105
country,162,260,98
people,315,412,97
right,112,207,95
hillary_clinton,1,95,94
work,125,42,83
help,98,19,79
dont,94,170,76
donald_trump,99,26,73
folks,12,83,71
way,71,142,71
ok,5,74,69
vote,110,41,69
together,94,27,67
families,75,9,66
like,98,164,66
president,103,37,66
want,235,171,64
said,140,203,63
thats,135,194,59
bad,6,61,55
us,159,105,54
really,131,79,52
mean,18,69,51
americans,78,27,51
need,85,35,50
election,71,22,49
make,117,69,48
youre_going,2,49,47
one,115,162,47
never,47,93,46
kind,53,7,46
economy,47,4,43
support,67,24,43
young_people,42,0,42
say,99,141,42
love,20,61,41
money,22,63,41
win,15,56,41
make_sure,47,7,40
hope,48,9,39
mexico,3,42,39
shes,7,45,38
hillary,2,40,38
jobs,69,107,38
ago,6,44,38
campaign,69,32,37
future,54,18,36
government,11,47,36
obama,2,37,35
oh,9,44,35
gonna,17,52,35
im,98,133,35
know,324,290,34
come,27,61,34
deal,11,44,33
women,38,5,33
working,63,30,33
thing,15,47,32
china,4,36,32
obamacare,0,32,32
could,81,49,32
incredible,1,33,32
politicians,1,32,31
family,54,23,31
even,50,80,30
isis,12,42,30
stop,13,43,30
take_care,5,34,29
heres,40,11,29
media,0,29,29
kids,34,5,29
someone,30,2,28
countries,13,41,28
part,44,16,28
problem,2,30,28
think,148,120,28
trump,59,31,28
senate,30,3,27
unbelievable,1,28,27
going_win,0,27,27
everything,47,20,27
everybody,60,33,27
big,35,61,26
look,53,79,26
amazing,5,31,26
world,32,58,26
get,183,157,26
beautiful,4,30,26
remember,24,50,26
stronger_together,26,0,26
ever,30,56,26
lost,13,38,25
says,39,14,25
things,33,58,25
fix,5,29,24
nothing,12,36,24
